英文,谷歌翻译,引用数量？
joshua (shisanli934),约书亚 (shisanli934),152
jouzaburou (joe3),jouzabrou (joe3),152
kafun,卡芬,152
kanbayashi makoto,上林诚,152
kelvin-trainerk,开尔文-trainerk,152
kiana kaslana (void drifter),kiana kaslana（虚空漂泊者）,152
kimura shiki,木村式,152
kurokawa makoto,黑川诚,152
lavender (flower),薰衣草（花）,152
le temeraire (azur lane),le temeraire (蔚蓝海岸),152
liepard,猎豹,152
makako (yume bouei shoujo tai),makako (yume bouei shoujo tai),152
makinami (kancolle),卷波 (kancolle),152
master artoria,阿尔托利亚大师,152
mewkledreamy,梦幻般的,152
micha jawkan,米查·乔坎,152
mochizuki hijiri,望月飞尻,152
mosquito,蚊子,152
nanaka mai,菜中舞,152
narutaru,火影忍者,152
natsuki (natukituki),夏木 (natukituki),152
oerba dia vanille,欧巴迪亚香草,152
ok-ray,好的射线,152
oni costume,鬼服装,152
petilil,花瓣,152
raburebo,拉布雷博,152
ranyu,冉玉,152
s zenith lee,s 天顶李,152
sarasadou dan,萨拉萨杜丹,152
sarena,莎丽娜,152
seitei (04seitei),seitei (04seitei),152
shiroko (reku),白子 (reku),152
shisantian,十三田,152
sig mcx (girls' frontline),sig mcx (女子前线),152
simulated footjob,模拟脚交,152
snow fox,雪狐,152
snow is,雪是,152
sphinx (toaru majutsu no index),狮身人面像 (toaru majutsu 无索引),152
suntail,太阳尾,152
toono minagi,远野 152,152
trellis,格子,152
twirl baton,旋转指挥棒,152
usami mizuki,宇佐美水树,152
ushiromiya rudolf,饭宫鲁道夫,152
vanity table,梳妆台,152
vice (kof),副（kof）,152
virtual reality,虚拟现实,152
wardrobe,衣柜,152
weapon connection,武器连接,152
wonder festival 2007,奇迹节 2007,152
xuhuai (the legend of luoxiaohei),徐怀（洛小黑传说）,152
yellowpaint.,黄漆.,152
zifu,紫府,152
zukky000,zukky000,152
98se-tan,98se-tan,151
akito (sub707),akito (sub707),151
alber,阿尔伯,151
arima senka,有马尖花,151
artoria caster (third ascension) (fate),artoria caster（第三次提升）（命运）,151
athena (series),雅典娜（系列）,151
axe kick,斧头踢,151
bearhug,熊抱,151
besmiled,满脸笑容,151
black jack (series),黑杰克（系列）,151
black sun,黑太阳,151
bottle cap,瓶盖,151
bronya zaychik (haxxor bunny),bronya zaychik (haxxor bunny),151
buizel,比泽尔,151
calin,卡林,151
chibikko (morihito),chibikko (森仁),151
christie (doa),克里斯蒂（DOA）,151
code: nemesis (elsword),代码：克星（艾斯之剑）,151
dark sky,黑暗的天空,151
dewgong,德功,151
etan14,伊坦14,151
eyewear lift,眼镜架,151
fishnet fabric,渔网面料,151
galarian zigzagoon,加里安之字形,151
green feathers,绿色的羽毛,151
gwendolyn tennyson,格温多林·丁尼森,151
gypsy,吉普赛人,151
haru (nature life),春（自然生活）,151
hiruno,飞野,151
hisui (cookie),喜水（饼干）,151
ichimedoo,一目多,151
ijimeka (meme),ijimeka（模因）,151
imai kana,今井假名,151
instant ip,即时IP,151
jungon kim,金正恩,151
juuni taisen,juuni taisen,151
kakao rantan,卡考兰坦,151
kaya rio,卡亚里约,151
kecleon,凯克龙,151
kimi ni todoke,kimi ni todoke,151
kirahoshi ciel,kirahoshi ciel,151
kurosuke (nora),黑助（诺拉）,151
kusana (dudqja602),kusana (dudqja602),151
lid,盖子,151
lion costume,狮子服装,151
m249,m249,151
maguro (mawaru sushi),maguro (mawaru 寿司),151
marion-ville,马里昂维尔,151
matsumoto sarina,松本纱丽娜,151
mechuragi,机甲木,151
megumin (cosplay),惠惠（角色扮演）,151
milfa (to heart),摩洛伊斯兰解放阵线 (对心脏),151
mins (minevi),分钟 (minevi),151
mizutame tori,水为鸟取,151
moe2017,教育部2017,151
muloli,muloli,151
musunde hiraite rasetsu to mukuro (vocaloid),musunde hiraite rasetsu to mukuro (vocaloid),151
namiorii,纳米治里,151
nasuna,纳苏纳,151
nekonyan,尼科尼安,151
nidoran,尼多兰,151
omanyte,玛瑙,151
onion (lemlaml),洋葱 (lemlaml),151
oota youjo,太田优乔,151
outstretched legs,伸出的腿,151
panpa,潘帕,151
penis sheath,阴茎鞘,151
pf,pf,151
plank,木板,151
polar opposites,对立面,151
princess (7th dragon),公主（第七龙）,151
qbz-95,qbz-95,151
reeds,芦苇,151
removing glove,脱手套,151
richelieu (fleuron of the waves) (azur lane),黎塞留（海浪之花）（碧蓝航线）,151
rurudo,鲁鲁道,151
sagemaru-br,sagemaru-br,151
sakura koharu,樱花小春,151
samus aran (cosplay),萨姆斯·阿兰（角色扮演）,151
saotome haruna,早乙女榛名,151
sawamura daichi,泽村大地,151
scuba gear,潜水装备,151
seihou,西丰,151
seviper,塞维珀,151
sexy no jutsu,性感的不忍,151
sharuru (dokidoki! precure),sharuru (dokidoki! precure),151
shenmue,神木,151
shera l. greenwood,谢拉湖格林伍德,151
shiromiya mimi,白宫咪咪,151
silent princess,沉默的公主,151
slime boy,史莱姆男孩,151
slot machine,老虎机,151
sprout,新芽,151
stephanie dora,斯蒂芬妮朵拉,151
sunsun69,sunsun69,151
suo sango,索桑果,151
suwaneko,诹访子,151
suzunosuke (sagula),铃之介 (sagula),151
taguchi kenji (omaep),田口健二 (omaep),151
torn ribbon,撕裂的丝带,151
tororo,托罗罗,151
tota (sizukurubiks),总（sizukurubiks）,151
tree of savior,救世主之树,151
tsukimi eiko,月见英子,151
viroa,病毒,151
watagashi yui,渡桥结衣,151
wet male underwear,湿男内裤,151
yellow overalls,黄色工作服,151
yellow sarong,黄色围裙,151
yukia (firstaid0),yukia (急救0),151
zygarde,齐加德,151
afuro,阿芙罗,150
akiteru (akiteru98),秋照 (akiteru98),150
alice margatroid (cosplay),alice margatroid (cosplay),150
annindoufu (oicon),annindofu (oicon),150
aono (f i s),青野 (fis),150
atlantic puffin (kemono friends),大西洋海雀（kemono 朋友）,150
back to the future,回到未来,150
bakuretsu hunters,爆裂猎人,150
beeeeen,150,150
beige headwear,米色头饰,150
broken arm,断臂,150
bulbonne,布尔博讷,150
burp,打嗝,150
chichibu (watson),秩父（屈臣氏）,150
chopsticks in mouth,筷子在嘴里,150
cigarette butt,烟头,150
core drill,取芯钻,150
dress aside,把衣服放在一边,150
echizen (hvcv),越前 (hvcv),150
ezoshika,江户,150
florence nightingale (third ascension) (fate),弗洛伦斯·南丁格尔（第三次扬升）（命运）,150
fuyouchu,扶有初,150
game & watch,游戏和观看,150
gomi ichigo,五味一护,150
gum (gmng),口香糖 (gmng),150
habetrot (fate),habetrot (命运),150
hakubi washuu,白尾和酒,150
hara kenshi,原研志,150
harukanaru toki no naka de,harukanaru toki no naka de,150
holding flask,保温瓶,150
holding sponge,固定海绵,150
hozuki kaede,保月枫,150
ikue fuuji,藤井江,150
illustrious (maiden lily's radiance) (azur lane),杰出（少女百合的光芒）（碧蓝航线）,150
is ii,是 ii,150
jean-jacques leroy,让-雅克·勒罗伊,150
jujutsu tech uniform,柔术技术服,150
junior27016,初中27016,150
k.ty (amejin),k.ty (amejin),150
kamen rider kiva,假面骑士kiva,150
kamyu,神友,150
katwo,卡图,150
kisaragi mizu,如月水,150
kitano yuusuke,北野佑介,150
kizuna ai (a.i. games),kizuna ai (ai 游戏),150
kupa (jesterwii),库帕 (jesterwii),150
kuroi nanako,黑井菜菜子,150
kurowana,黑花,150
lamb,羊肉,150
light beam,光束,150
lily (gentsuki),百合 (gentsuki),150
maa (forsythia1729),maa (forsythia1729),150
maki oze,尾濑真希,150
mandricardo (fate),曼德里卡多（命运）,150
mankanshoku matarou,满目食太郎,150
masaki (machisora),正树（machisora）,150
meloetta,美洛艾塔,150
mizuno asami,美津浓麻美,150
mutsuba fumi,mutsuba fumi,150
natsuki (silent selena),夏树（沉默的赛琳娜）,150
needless,没必要,150
nekosugi (hoshi),猫杉（星）,150
nepolabo,尼波拉波,150
noi mine,黑矿,150
nonbire,非比尔,150
orange bag,橙色包,150
osamu (jagabata),osamu (jagabata),150
oshioki sweetie,oshioki 亲爱的,150
outseal,外封,150
patchouli knowledge (cosplay),广藿香知识（cosplay）,150
phantump,幻影,150
pompmaker1,pompmaker1,150
ramiya ryou,拉米亚亮,150
rateratte,评分,150
rimururu,利姆鲁鲁,150
roe,鱼子,150
rottytops,烂陀螺,150
rubi-sama,鲁比大人,150
saegusa kii,三草纪150,150
salama (amaburi),萨拉马（阿马布里）,150
satou rin (gobugabuge),佐藤凛 (gobugabuge),150
scaffolding,脚手架,150
shameimaru aya (crow),羞丸绫（乌鸦）,150
shaymin (sky),谢明（天空）,150
shigemitsu jun,重光君,150
shimomoto,下本,150
shirai yuyu,白井优优,150
shiroshouzoku,白手食,150
siberian tiger (kemono friends),东北虎 (kemono 朋友),150
star741,星741,150
stigma1101,耻辱1101,150
suiroh (shideoukami),水郎 (shideoukami),150
sunahara wataru,砂原渡,150
suzushiro yukari,铃代由香里,150
tendo teru,天童照,150
tokoyami fumikage,常夜文影,150
tono (rt0no),托诺 (rt0no),150
toufu mentaru zabuton,豆腐脑杂布顿,150
tricycle,三轮车,150
trinity seven,三位一体七千一百五十,150
troll (homestuck),巨魔（家庭）,150
trust me,相信我,150
umezawa itte,梅泽一手,150
victreebel,维克特贝尔,150
vyugen,维尤根,150
wataru (nextlevel),渡（下一级）,150
winnie the pooh,小熊维尼,150
yajiro masaru,矢次郎胜,150
yoga mat,瑜伽垫,150
yoshida inuhito,吉田犬人,150
yoshiwa tomo,吉和友,150
yukiunag1,yukiunag1,150
yuugumo kai ni (kancolle),yuugumo kai ni (kancolle),150
zakuro (rariatto),zakuro (rariatto),150
5danny1206,5丹尼1206,149
after,之后,149
aimee (emi),艾米 (emi),149
armillary sphere,浑天仪,149
ashitaka,明日香,149
assault visor,突击面罩,149
ayane (blue archive),绫音（蓝色档案）,149
ayukawa madoka,鲇川小圆,149
bed invitation,床的邀请,149
big bad wolf (cosplay),大灰狼 (cosplay),149
bismarck (warship girls r),俾斯麦（军舰少女）,149
brandkojo,品牌科乔,149
breloom,布鲁姆,149
ca (maeda koutarou),ca (前田光太郎),149
daiteikoku,大帝国,149
dianna soreil,戴安娜·索雷尔,149
dodonpachi,斗冬八,149
doom eternal,厄运永恒,149
dragon ball super super hero,龙珠超级英雄,149
eden's zero,伊甸园的零,149
elizabeth (bioshock infinite),伊丽莎白（生化奇兵无限）,149
emerald (pokemon),翡翠（宠物小精灵）,149
emilico (shadows house),emilico（影子屋）,149
empew,149,149
encasement,外壳,149
flying witch,飞行女巫,149
foot pussy,脚猫,149
gakusen toshi asterisk,gakusen toshi 星号,149
garnet rod,石榴石棒,149
gunnthra (fire emblem),gunnthra（火徽）,149
halfling,半身人,149
healther,更健康,149
hometa,家园,149
hoshimiya mashiro,星宫真城,149
huang (granblue fantasy),黄（碧蓝幻想）,149
imigimuru,imigimuru,149
imouto sae ireba ii,imouto sae ireba ii,149
isis (p&d),伊斯兰国 (p&d),149
jack atlas,杰克地图集,149
jinako carigiri,jinako carigiri,149
juggling club,杂耍俱乐部,149
kameyan,卡梅扬,149
kanade izuru,金出鹤,149
kayura yuka,菖蒲由香,149
kinoebi,kinoebi,149
kogame,游戏,149
kusano shinta,草野真太,149
kyuukon (qkonsan),kyuukon (qkonsan),149
layla prismriver,莱拉棱镜河,149
leeron littner,莱伦·利特纳,149
magicians (zhkahogigzkh),魔术师 (zhkahogigzkh),149
mahou shoujo (raita),魔法少女 (raita),149
mamel 27,马梅尔 27,149
medium request,中等请求,149
momogaa (girls und panzer),momogaa（少女与装甲）,149
mystical high collar,神秘高领,149
nada namie,娜达娜美,149
nikomi (nikomix),尼科米（nikomi）,149
nolia,诺利亚,149
object insertion from behind,从后面插入对象,149
oreo,奥利奥,149
pink mittens,粉色连指手套,149
poppi alpha (xenoblade),poppi alpha（异形之刃）,149
prehensile tongue,可抓握的舌头,149
print hakama,印花袴,149
pump action,泵动作,149
quadruple wielding,四重挥舞,149
ribbon earrings,丝带耳环,149
seahorse,海马,149
shigaraki tomura,信乐村,149
shirayuri sakura,白百合樱花,149
shuuzo3,修造3,149
sinakyo,新京区,149
skorpion (girls' frontline),蝎子（少女前线）,149
splat charger (splatoon),splat 充电器 (splatoon),149
sukebewe,苏克贝威,149
suta furachina,suta furachina,149
tai0201,tai0201,149
takano itsuki,高野伊月,149
tariah furlow,塔利亚弗洛,149
terras,特拉斯,149
thanabis,灭霸,149
tokki,特技,149
tokoi,东井,149
tokomichi,常道,149
tokyo necro,东京死灵149,149
tsukko (3ki2ne10),tsukko (3ki2ne10),149
venom snake,毒蛇,149
wario land,瓦里奥土地,149
winter soldier,冬兵,149
x-23,x-23,149
yamauchi (conan-comy),山内 (conan-comy),149
yanyan (shinken gomi),yanyan (神研五味),149
yawaraka black,矢原黑,149
yorktown cv-5,约克镇 CV-5,149
yoshida akihiko,吉田明彦,149
yuasa makoto,汤浅诚,149
yumesaki nana,梦咲奈奈,149
yuuhi kurenai,夕日红内,149
aek-999 (girls' frontline),aek-999（少女前线）,148
akano murasaki,赤野村崎,148
akieda,秋枝148,148
amatsuka mao,松香毛,148
amatsuka megumi (gj-bu),amatsuka megumi (gj-bu),148
ane naru mono,鸣单,148
araki (qbthgry),荒木经惟 (qbthgry),148
asch (tales),阿什（故事）,148
atage,年龄,148
beni kurage,beni kurage,148
bimmy,比米,148
binggong asylum,兵宫避难所,148
bracelet girls,手链女孩,148
brand-new friend (umamusume),全新的朋友 (umamusume),148
bremerton (day-off date) (azur lane),布雷默顿（休息日）（碧蓝航线）,148
broom surfing,扫帚冲浪,148
burusuta,布鲁苏塔,148
charisma guard,魅力后卫,148
chig,奇格,148
chirashi (so),chirashi (so),148
cibo (killy),cibo (基利),148
crooked eyewear,歪斜的眼镜,148
dracu-riot!,德拉库暴动！,148
fan speaking,粉丝说话,148
february,148 年 2 月,148
fu hua (night squire),福华（夜扈）,148
fujimiya yahiro,藤宫八广,148
fuwa kokone,不和心根,148
game over,游戏结束,148
getbackers,获得者,148
ginklaga,银杏,148
gino weinberg,吉诺·温伯格,148
harmonist11,和声器11,148
hellagur (arknights),海拉格（方舟之夜）,148
higa-tsubasa,比嘉翼,148
hip hop,嘻哈,148
hisamura natsuki,久村夏树,148
holding lighter,拿着打火机,148
hulk,绿巨人,148
human village (touhou),人类村（东方）,148
idol heroes (idolmaster),偶像英雄（偶像大师）,148
ingrid (taimanin murasaki),英格丽德 (taimanin murasaki),148
io naomichi,伊奥直道,148
isao,伊索,148
kantoku (style),关德（风格）,148
kara age,卡拉年龄,148
kazuma kaneko,金子和真,148
kitsune maru,狐狸丸,148
koi suru kanojo no bukiyou na butai,锦鲤 suru kanojo no bukiyou na butai,148
koruta (nekoimo),koruta (nekoimo),148
kv-2,千伏-2,148
laundry pole,洗衣杆,148
lennon,列侬,148
lunarisaileron,lunarisaileron,148
makura (y makura),makura (y makura),148
mantine,曼丁,148
maou sadao,猫尾刀,148
maru daizu (aqua6233),丸大津 (aqua6233),148
mikami mika,三上美嘉,148
minarai tenna,minarai 天娜,148
mireyu,米雷鱼,148
mitsuru (darling in the franxx),mitsuru（弗兰克斯的宠儿）,148
miyata (lhr),宫田 (lhr),148
moffle (ayabi),莫夫勒 (ayabi),148
momiji (binbougami ga!),红叶 (binbougami ga!),148
momotarou densetsu,桃太郎densetsu,148
nakai hisao,中井久男,148
nakamura kusata,中村草田,148
natsupa,纳苏帕,148
nina (pastime),尼娜（消遣）,148
october,148 年 10 月,148
oobari masami,大张正美,148
ouma shuu,王马舒,148
owa (ishtail),owa (ishtail),148
ozzingo,奥津戈,148
pandoria (xenoblade),潘多利亚（异形之刃）,148
paprika shikiso,辣椒粉 shikiso,148
pearl fey,珍珠仙,148
picpicgram,象形图,148
popoin,啪啪啪,148
proto man,原型人,148
pure white memories (idolmaster),纯白的回忆（偶像大师）,148
ranger (ragnarok online),游侠（仙境传说在线）,148
reigen arataka,灵源荒鹰,148
ribbon bra,丝带文胸,148
ribi,里比,148
rikoma,里科马,148
rimu (kingyo origin),rimu (kingyo 起源),148
rugal bernstein,鲁格尔伯恩斯坦,148
rune factory 3,符文工厂 3,148
sawamura eijun,泽村英俊,148
shantae: half-genie hero,shantae：半精灵英雄,148
shikinami kai ni (kancolle),shikinami kai ni (kancolle),148
shimana (cs-ts-az),shimana (cs-ts-az),148
shingyoku (touhou),新玉（东方）,148
shinn asuka,明日香,148
shiraishi an,白石庵,148
shitappa,希塔帕,148
shutou mq,书头mq,148
sistine fibel,西斯汀纤维,148
siva (executor),湿婆（执行人）,148
spark621,火花621,148
star trail,星轨,148
stitched neck,缝合的脖子,148
swaying,摇摆不定,148
tachimukai yuuki,立向井优树148,148
takanashi-a,高梨a,148
tsumi no hahen (debris),tsumi no hahen (碎片),148
tsunami jousuke,海啸仗助,148
tuba,大号,148
unagimaru,鳗鱼丸,148
unlight,不亮,148
weed (astarone),杂草 (astarone),148
words worth,字数,148
yamakaze ran,山风跑,148
yamato maya,大和玛雅,148
yamazaki sousuke,山崎宗介,148
yogisya,瑜伽,148
yokohama kaidashi kikou,横滨街道纪口,148
zoe (league of legends),佐伊（英雄联盟）,148
alexi (tits!),亚历克西（山雀！）,147
alma armas,阿尔玛武器,147
ao madoushi,奥马斗士,147
ashishun,阿什顺,147
azuki (nekopara),azuki (nekopara),147
bedwetting,尿床,147
blue-eyes white dragon,青眼白龙,147
bobby pin,发夹,147
calne ca,卡恩 ca,147
car seat,汽车座椅,147
chouun shiryuu,千云志龙,147
deku (dekunosu),deku (dekunosu),147
diepod,死荚,147
ebinku,ebinku,147
electrode (pokemon),电极（口袋妖怪）,147
extra breasts,额外的乳房,147
eyewear switch,眼镜开关,147
falling star,流星,147
franken fran,弗兰克弗兰,147
freedom nakai,自由中井,147
fumi (nijisanji),fumi (nijisanji),147
fusion dance,融合舞147,147
genetic (ragnarok online),遗传（仙境传说在线）,147
grimlight,冷酷的光芒,147
guard vent jun,保护通风口 jun,147
hakou (barasensou),hakou (barasensou),147
hamashima shigeo,滨岛繁雄,147
hanayamata,花山,147
harada miyuki,原田美雪,147
heixiu,黑秀,147
hichiko,彦子,147
hirota tsuu,广田通,147
hiryuu (azur lane),hiryuu（碧蓝航线）,147
hobble,蹒跚,147
hong doo,红斗,147
huxiao (mistlakefront),湖晓（雾湖畔）,147
irui guneden,irui guneden,147
kamishiro rui,神城瑞,147
kaniya shiku,卡尼亚石库,147
katara,卡塔拉,147
katsuragi niya,葛城宫,147
kefla (dragon ball),凯夫拉（龙珠）,147
kirby d a,柯比达,147
koto (instrument),古筝（乐器）,147
kurau kii,库劳纪伊,147
kuroe (sugarberry),黑江（甘莓）,147
link (cosplay),链接（角色扮演）,147
littorio (azur lane),littorio（碧蓝航线）,147
marking on cheek,脸颊上的标记,147
masters of the universe,宇宙之主,147
micchan (ohisashiburi),micchan (ohishashiburi),147
mito (go!go!king!),水户（去！去！国王！）,147
moe (blue archive),萌（蓝色档案）,147
mokoke,莫科,147
moneybag,钱袋子,147
muji (uimss),无印良品 (uimss),147
narumi nanami,鸣海七海,147
nhk ni youkoso!,nhk你优科索！,147
nina (breath of fire iii),尼娜（火焰之息 iii）,147
norman (yakusoku no neverland),诺曼（yakusoku no neverland）,147
nose shade,鼻罩,147
olys,奥利斯,147
on animal,在动物上,147
on food,关于食物,147
on moon,在月球上,147
one piece: strong world,一件：强大的世界,147
osu! tatakae! ouendan,大苏！高江！万丹,147
panther ears,豹耳,147
pecjob,胸作业,147
poem,诗,147
poshi (ginmokusei),poshi (ginmokusei),147
pure pure,纯纯的,147
ririmon,里里蒙,147
rome romedo,罗马 罗梅多,147
s.m.s.,短信,147
saijaku muhai no bahamut,saijaku muhai no bahamut,147
she-hulk,女浩克,147
she-ra and the princesses of power,希拉和权力的公主们,147
shimaji,岛路,147
shiro (sewayaki kitsune no senko-san),shiro (sewayaki kitsune no senko-san),147
sikorsky,西科斯基,147
snow white (disney),白雪公主（迪士尼）,147
sonic the hedgehog (classic),刺猬索尼克（经典）,147
stielhandgranate,钢手榴石,147
straw hat pirates,草帽海贼团,147
synchroaki,同步,147
tamahiyo,玉日,147
tentacool,腾酷,147
theresa apocalypse (starlit astrologos),特蕾莎启示录（星光占星术）,147
transformed ditto,变形同上,147
tsuruta himeko,鹤田姬子,147
vertical-striped vest,竖条纹背心,147
wakatsuki you,若月你,147
waraji,原路147,147
warui ga watashi wa yuri janai,warui ga watashi wa yuri janai,147
wind sneaker (elsword),风运动鞋 (elsword),147
y naf,是的,147
yamato (uchuu senkan yamato),大和 (uchuu senkan yamato),147
yamato kai ni (kancolle),大和改你（kancolle）,147
yor briar (cosplay),你的野蔷薇（角色扮演）,147
you2,你2,147
yukiyuki 441,雪之 441,147
yusake san,yusake san,147
zasshu nigou,杂树泥狗,147
zeraora,泽拉奥拉,147
zhuge kongming (honkai impact),诸葛孔明（崩坏）,147
zuttokodomo,祖托科多莫,147
adagaki aki,安垣昭146,146
ai yori aoshi,爱由里奥西,146
akasata,赤笠,146
ame usako,美宇子,146
asakura otome,朝仓乙女,146
austria (hetalia),奥地利（黑塔利亚）,146
ayamisiro,绫美罗,146
bf. (sogogiching),BF。 （sogogiching）,146
blue babydoll,蓝色娃娃装,146
camisole over clothes,吊带背心套在衣服上,146
catsmoon,猫月,146
cellphone strap,手机带,146
chunyan,春燕,146
cis (tiger & bunny),顺式（老虎和兔子）,146
cofffee,咖啡,146
colorado (azur lane),科罗拉多州（碧蓝航线）,146
comic sans,漫画无,146
constriction,收缩,146
cowter,笼头,146
craytm,克雷特姆,146
dedue molinaro,推定莫利纳罗,146
dier (girls' frontline),迪尔（女子前线）,146
dresstrip,装扮,146
eternal sailor moon,永恒的水手月亮,146
fir tree,枞树,146
fubuki (azur lane),吹雪（碧蓝航线）,146
fugetsu taku,风月卓,146
geike,格科,146
ghostbusters,捉鬼敢死队,146
gibun (sozoshu),gibun (sozoshu),146
glorious (azur lane),光荣（碧蓝航线）,146
godzillapigeon1,哥斯拉鸽子1,146
hajime (caramel toone),hajime (焦糖香),146
half-life,半衰期,146
heart-shaped pubic hair,心形阴毛,146
hifumi kei,风水系,146
hiragana oufu,平假名欧风,146
hitori bocchi,日取bocchi,146
holding pocket watch,拿着怀表,146
holding riding crop,拿着骑马作物,146
honyang,洪阳,146
hyoin,孝仁,146
iced tea,冰茶,146
ichijou hikaru,一条光,146
igarashi (nogiheta),五十岚（nogiheta）,146
ima (lm ew),伊玛 (lm ew),146
inaba rinne,稻叶轮内,146
inkey,墨水,146
iris (asteroid ill),虹膜（小行星病）,146
jack-o'-lantern print,南瓜灯印花,146
jeep,吉普车,146
kanna hisashi,菅奈久志,146
kanoko (pattern),鹿子（模式）,146
karaginu mo,卡拉吉努莫,146
kemono jihen,兽类忌恨,146
kinbakuman,金爆万,146
kiryuuin aoi,桐生院葵,146
kokubunji suou,国分寺锁146,146
konparu nozomi,金帕鲁希,146
kure (kure ng),吴（吴）,146
kuronami (lvi),黑波 (lvi),146
kurono nekomaru,黑野猫丸,146
lask,拉斯克,146
lever action,杠杆作用,146
love wing bell,爱翼铃,146
lunatone,月牙,146
m3 lee,m3李,146
maekakekamen,梅卡卡卡面,146
mage (dq3),法师 (dq3),146
maiii (smaii i),maiii (smaii i),146
mari audio,玛丽音频,146
marui shiro,丸井四郎,146
matra milan,马特拉米兰,146
mayonaka taruho,mayonaka taruho,146
mexican standoff,墨西哥对峙,146
mirino,美利奴,146
missing teeth,牙齿缺失,146
nagatsuki sanae,长月早苗,146
naka akira,中晃,146
namihaya,波早,146
nana g,娜娜 g,146
nanno koto,南野琴,146
nekomugiharu,猫麦春,146
nijitama shiyushiyu,nijitama shiyushiyu,146
nr noir,NR 黑色,146
ooshima tomo,大岛友,146
phantom (happinesscharge precure!),幻影（happycharge precure！）,146
pinb,引脚,146
porygon,棱角,146
red (among us),红色（在我们中间）,146
relationshipping,关系,146
relena peacecraft,雷莱娜和平号,146
ryou-ouki,龙王146,146
sano (hospital 0434),佐野（医院 0434）,146
sarfata,萨法塔,146
savage (arknights),野蛮人（方舟之夜）,146
scone,烤饼,146
senjuushi: the thousand noble musketeers,千手子：千尊火枪手,146
siino,西诺,146
squeeze bottle,挤压瓶,146
squid hat,鱿鱼帽,146
sukabu,苏卡布,146
suzuki sayaka,铃木早香,146
takuzui,拓瑞,146
tdk,tdk,146
tel-o,电话,146
teramoto kaoru,寺本薰,146
the lego group,乐高集团,146
tobi (discharge cycle),tobi（放电循环）,146
transformers animated,变形金刚动画,146
turbo byakuren,涡轮白莲,146
tussy,小便,146
yellow headband,黄色头带,146
yellow jumpsuit,黄色连身裤,146
yukihira souma,幸平相马,146
yukikaze (kancolle) (cosplay),yukikaze (kancolle) (cosplay),146
yumeno uta,梦野歌146,146
yutsumoe,友友,146
zebra,斑马,146
zenno rob roy (umamusume),zenno rob roy (umamusume),146
aks-74u,aks-74u,145
ameyu (rapon),ameyu (rapon),145
another eidos-r,另一个 eidos-r,145
ark kan,方舟,145
arrest,逮捕,145
artist progress,艺术家进步,145
asclepius (fate),阿斯克勒庇俄斯（命运）,145
barn,谷仓,145
battle athletes,战斗运动员,145
bebe (bebe pp),贝贝 (贝贝 pp),145
blackrabbitsoul,黑兔灵魂,145
borderless panels,无边框面板,145
breast fondle,乳房抚摸,145
c-low,c-低,145
cherubi,小天使,145
chirigami-san,chirigami-san,145
chobi (akchu),chobi (akchu),145
cooling pad,冷却垫,145
coyote ragtime show,郊狼拉格泰姆秀,145
crossed swords,交叉的剑,145
dango (uni 520),团子 (uni 520),145
deformed,变形,145
deirdre (fire emblem),deirdre（火徽）,145
deoxys (normal),deoxys (正常),145
dora v nu,多拉诉努,145
echizen (n fns17),越前 (n fns17),145
erect sawaru,直立 sawaru,145
eris (konosuba),厄里斯 (konosuba),145
esukee,145,145
ettone,埃顿,145
expedition uniform,远征制服,145
fateline alpha,命运线阿尔法,145
fernandia malvezzi,费尔南迪亚·马尔韦齐,145
foster's home for imaginary friends,福斯特的假想朋友之家,145
framed insect,框架昆虫,145
freeze-ex,冷冻前,145
furorina,芙萝莉娜,145
futaba suetsuki,双叶末月,145
ginga tetsudou 999,银牙铁豆 999,145
goho mafia! kajita-kun,戈霍黑手党！梶田君,145
greater roadrunner (kemono friends),更大的走鹃（kemono朋友）,145
hamedoragon,五边形,145
happy tree friends,快乐的树朋友,145
hara tetsuo (style),原哲男（风格）,145
horikita suzune,堀北铃音,145
hoshizora e kakaru hashi,星空 e kakaru 桥,145
hot melon,热瓜,145
ieiri shoko,进入翔子,145
ienaga mugi,家永麦145,145
ilyana (fire emblem),伊利亚娜（火徽）,145
innertube with ears,带耳朵的内胎,145
jikihatiman,吉基哈提曼,145
jinroku,金六,145
jitomi monoe,单重实美,145
kahlua (artist),卡鲁瓦（艺术家）,145
kamishiro seren,神城瑟琳,145
kendy (revolocities),肯迪（革命）,145
kido (choushouya),鬼户（杂草屋）,145
kinjyou (shashaki),kinjyou (shashaki),145
kirishima romin,雾岛罗敏,145
komajirou,驹治郎,145
kurihara kenshirou,栗原健四郎,145
kuromari (runia),kuromari（鲁尼亚）,145
ladies versus butlers!,女士与管家！,145
liu liaoliao,刘辽辽,145
matsuyuki atsumu,松之厚木,145
metapod,元足类,145
minion 3 (zannen onna-kanbu black general-san),小黄人 3 (zannen onna-kanbu black general-san),145
mocchisake,摩奇酒,145
mou tama maru,牟多摩丸,145
murano,穆拉诺,145
mutant,突变体,145
nagasarete airantou,nagasarete airantou,145
naruse ibara,成濑伊原,145
natori (natorism),名取（自然主义）,145
nekoguchi,猫口,145
nishizono shinsuke,西园新助,145
nori senbei,紫菜仙贝,145
object head,对象头,145
oikura sodachi,大仓纯立,145
okazaki yasuha,冈崎康叶,145
oozora itsuki,大空五月,145
